CLAVE MONITOREO,CLAVE SITIO,NOMBRE DEL SITIO,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD,FECHA,Alk,Cond,Hard,TDS,Fe,Mn,F,FC,NO3N,As,Cd,Cr,Hg,Pb
DLAGU1M1-190415,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2015-04-23,395.85,865.0,94.14,500.0,0.9213,0.0046,4.53399,1.0,1.606201,0.01,0.003,0.005,0.0005,0.005
DLAGU1M1-140216,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2016-02-11,341.7,902.0,90.07,496.0,1.0492,0.00875,4.810671,1.0,1.465939,0.01,0.003,0.005,0.0005,0.005
DLAGU1M1-090717,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2017-07-14,348.8,752.0,83.9106,488.0,2.195,0.0219,4.7025,10.0,1.562502,0.01,0.003,0.005,0.0005,0.005
DLAGU1M1-110318,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2018-03-07,332.16,751.0,85.8352,480.0,6.1231,0.07874,6.5181,10.0,0.254856,0.01,0.003,0.005,0.0005,0.005
DLAGU1M1-021218,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2018-11-29,377.14,871.0,90.8776,484.0,0.025,0.0015,4.6641,24196.0,1.694675,0.01,0.003,0.005,0.0005,0.005
DLAGU1M1-160619,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2019-06-11,353.1,893.0,82.4246,496.0,0.0253,0.0015,5.047,10.0,1.900115,0.01,0.003,0.005,0.0005,0.005
DLAGU1M1-260720,DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402,2020-07-26,350.98,876.0,118.74,529.2,0.025,0.0015,5.1379,10.0,1.704031,0.01,0.003,0.005,0.0005,0.005
DLAGU2-021218,DLAGU2,POZO COMUNIDAD SANDOVALES,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,NORIA,21.8829,-102.1124,2018-11-29,259.42,581.0,132.3652,372.0,0.025,0.0015,3.9449,24196.0,1.484678,0.01,0.003,0.005,0.0005,0.005
DLAGU2-271019,DLAGU2,POZO COMUNIDAD SANDOVALES,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,NORIA,21.8829,-102.1124,2019-10-26,230.04,625.0,131.3011,392.0,0.025,0.0015,3.992,10.0,1.357595,0.01,0.003,0.005,0.0005,0.005
DLAGU3-270714,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2014-07-23,199.9,553.0,122.0,428.0,0.025,0.0015,3.075,1.0,1.992,0.01,0.003,0.005,0.00064,0.005
DLAGU3-190415,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2015-04-23,203.0,623.0,128.94,416.0,0.025,0.0015,2.822183,1.0,1.9896,0.01,0.003,0.005,0.0005,0.005
DLAGU3-140216,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2016-02-11,201.0,730.0,122.45,416.0,0.025,0.0015,2.979687,1.0,1.837013,0.01,0.003,0.005,0.0005,0.005
DLAGU3-090717,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2017-07-14,209.28,559.0,118.7028,400.0,0.025,0.0015,2.7504,10.0,1.842518,0.01,0.003,0.005,0.0005,0.005
DLAGU3-110318,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2018-03-07,191.04,593.0,117.048,412.0,0.025,0.0015,2.971,10.0,1.968567,0.01,0.003,0.005,0.0005,0.005
DLAGU3-021218,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2018-11-28,214.73,560.0,118.536,412.0,0.025,0.0015,3.4033,10.0,1.954311,0.01,0.003,0.005,0.0005,0.005
DLAGU3-160619,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2019-06-11,208.65,594.0,116.1014,412.0,0.025,0.0015,3.1262,10.0,2.010768,0.01,0.003,0.005,0.0005,0.005
DLAGU3-260720,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2020-07-26,207.1,567.0,122.698,404.6,0.025,0.0015,3.3458,10.0,1.860726,0.01,0.003,0.005,0.0005,0.005
DLAGU3-190921,DLAGU3,PALO ALTO POZO Nº 2,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439,2021-09-15,213.925,559.0,99.87,405.6,0.0318,0.0015,3.1038,10.0,1.896848,0.01,0.003,0.005,0.0005,0.005
DLAGU34-290718,DLAGU34,POZO TANQUE DE LOS JIMENEZ,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.7079,-102.36716,2018-07-31,267.3,647.0,159.9118,404.0,0.025,0.0015,1.2167,10.0,0.837989,0.0155,0.003,0.005,0.0005,0.005
DLAGU34-021218,DLAGU34,POZO TANQUE DE LOS JIMENEZ,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.7079,-102.36716,2018-11-29,265.96,515.0,161.9992,428.0,0.02646,0.0015,1.2368,24196.0,0.893964,0.01108,0.003,0.005,0.0005,0.005
DLAGU34-271019,DLAGU34,POZO TANQUE DE LOS JIMENEZ,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.7079,-102.36716,2019-10-26,232.2,578.0,169.417,424.0,0.025,0.0015,1.4443,10.0,0.817284,0.01,0.003,0.005,0.0005,0.005
DLAGU39-270714,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2014-07-25,174.2,370.0,78.0,332.0,0.025,0.0015,1.505,1.0,0.978,0.01,0.003,0.005,0.0005,0.005
DLAGU39-190415,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2015-04-22,167.2,414.0,83.91,308.0,0.025,0.0015,1.482139,1.0,1.2369,0.0135,0.003,0.005,0.0005,0.005
DLAGU39-140216,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2016-02-10,175.88,414.0,84.0,324.0,0.025,0.0015,1.497378,1.0,1.239058,0.01,0.003,0.005,0.0005,0.005
DLAGU39-090717,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2017-07-11,177.67,368.0,81.864,320.0,0.025,0.0015,1.1923,10.0,0.952886,0.01,0.003,0.005,0.0005,0.005
DLAGU39-250318,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2018-03-21,164.16,414.0,76.986,318.0,0.025,0.0015,1.3367,10.0,1.115308,0.0112,0.003,0.005,0.0005,0.005
DLAGU39-161218,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2018-12-10,166.77,377.0,76.986,314.0,0.0584,0.0015,1.5048,10.0,1.206774,0.0112,0.003,0.005,0.0005,0.005
DLAGU39-160619,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2019-06-12,173.34,357.0,81.8664,300.0,0.0719,0.0015,1.5471,10.0,1.604185,0.01,0.003,0.005,0.0005,0.005
DLAGU39-260720,DLAGU39,POZO JALTICHE DE ABAJO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253,2020-07-29,168.95,373.0,83.118,309.2,0.025,0.0015,1.5649,10.0,1.254951,0.01,0.003,0.0087,0.0005,0.005
DLAGU4-270714,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2014-07-23,256.9,721.0,192.0,484.0,0.031,0.0015,1.184,1.0,2.464,0.01,0.003,0.005,0.0005,0.005
DLAGU4-190415,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2015-04-23,263.9,766.0,202.61,496.0,0.025,0.0015,1.166682,1.0,2.439157,0.01,0.003,0.005,0.0005,0.005
DLAGU4-140216,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2016-02-11,252.26,600.0,191.27,496.0,0.03469,0.0015,1.273469,1.0,2.326493,0.01,0.003,0.005,0.0005,0.005
DLAGU4-090717,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2017-07-13,261.6,705.0,188.2872,460.0,0.025,0.0015,1.0976,10.0,2.48578,0.01,0.003,0.005,0.0005,0.005
DLAGU4-110318,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2018-03-08,237.12,752.0,183.3752,470.0,0.025,0.0015,1.295,10.0,2.419466,0.01,0.003,0.005,0.0005,0.005
DLAGU4-021218,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2018-11-28,273.59,715.0,187.682,448.0,0.05619,0.0015,1.4144,10.0,2.387285,0.01,0.003,0.005,0.0005,0.005
DLAGU4-160619,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2019-06-11,252.52,858.0,186.1302,460.0,0.2036,0.0015,1.3126,10.0,2.248283,0.01,0.003,0.005,0.0005,0.005
DLAGU4-260720,DLAGU4,POZO SANTA MARIA DE GALLARDO,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368,2020-07-23,256.15,733.0,168.215,456.8,0.0769,0.0015,1.3741,10.0,2.397732,0.01,0.003,0.005,0.0005,0.005
DLAGU42-270714,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2014-07-25,129.0,360.0,94.0,318.0,0.025,0.0015,0.959,1.0,2.373,0.01,0.003,0.005,0.0005,0.005
DLAGU42-190415,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2015-04-22,116.6,384.0,89.03,300.0,0.025,0.0015,0.944897,1.0,3.0128,0.01,0.003,0.005,0.0005,0.005
DLAGU42-210216,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2016-02-19,134.32,413.0,61.44,264.0,0.025,0.0015,0.812625,1.0,0.897974,0.01,0.003,0.005,0.0005,0.005
DLAGU42-250318,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2018-03-21,113.28,496.0,84.882,274.0,0.025,0.0015,0.8406,10.0,2.735003,0.01,0.003,0.005,0.0005,0.005
DLAGU42-161218,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2018-12-10,115.54,366.0,82.908,296.0,0.025,0.0015,0.9373,135.0,3.301256,0.01,0.003,0.005,0.0005,0.005
DLAGU42-160619,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2019-06-12,124.12,413.0,78.1452,274.0,0.025,0.0015,0.9964,10.0,3.332445,0.01,0.003,0.005,0.0005,0.005
DLAGU42-260720,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2020-07-29,116.63,360.0,79.16,312.4,0.025,0.0015,0.9949,10.0,3.363696,0.01,0.003,0.005,0.0005,0.005
DLAGU42-050921,DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728,2021-09-02,120.4,370.0,90.0,299.2,0.025,0.0015,0.9844,10.0,3.153371,0.01,0.003,0.005,0.0005,0.005
DLAGU44-270714,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2014-07-25,167.7,359.0,37.0,250.0,0.025,0.0015,1.567,1.0,0.592,0.01,0.003,0.005,0.0005,0.005
DLAGU44-190415,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2015-04-22,152.9,492.0,42.98,240.0,0.025,0.0015,1.598347,1.0,0.6904,0.01,0.003,0.005,0.0005,0.005
DLAGU44-210216,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2016-02-19,161.19,624.0,32.77,236.0,0.025,0.0015,1.628323,1.0,0.682486,0.01,0.003,0.005,0.0005,0.005
DLAGU44-090717,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2017-07-11,162.41,434.0,30.699,232.0,0.025,0.0015,1.3252,146.0,0.572607,0.01,0.003,0.005,0.0005,0.005
DLAGU44-250318,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2018-03-21,157.44,467.0,31.584,228.0,0.025,0.0015,1.4284,10.0,0.684432,0.0111,0.003,0.005,0.0005,0.005
DLAGU44-161218,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2018-12-10,162.41,423.0,35.532,238.0,0.025,0.0015,1.6441,10.0,0.739369,0.0102,0.003,0.005,0.0005,0.005
DLAGU44-160619,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2019-06-12,163.71,436.0,29.7696,216.0,0.025,0.0015,1.5696,10.0,0.730286,0.01,0.003,0.005,0.0005,0.005
DLAGU44-260720,DLAGU44,POZO SAN TADEO,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984,2020-07-29,156.96,451.0,33.643,260.2,0.025,0.0015,1.6628,10.0,0.772279,0.01,0.003,0.005,0.0005,0.005
DLAGU49-260513,DLAGU49,POZO TAPIAS VIEJAS,104,VENADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VENADERO,SUBTERRÁNEO,POZO,21.85116,-102.53558,2013-05-20,170.145,340.0,122.8794,217.6,0.025,0.0015,1.7711,1.0,1.3985,0.01,0.003,0.005,0.0005,0.005
DLAGU49-270714,DLAGU49,POZO TAPIAS VIEJAS,104,VENADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VENADERO,SUBTERRÁNEO,POZO,21.85116,-102.53558,2014-07-22,172.0,365.0,92.0,260.0,0.025,0.0015,1.705,63.0,1.277,0.01,0.003,0.005,0.0005,0.005
DLAGU49-190415,DLAGU49,POZO TAPIAS VIEJAS,104,VENADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VENADERO,SUBTERRÁNEO,POZO,21.85116,-102.53558,2015-04-22,170.5,396.0,94.14,288.0,0.025,0.0015,1.678137,1.0,1.27,0.01,0.003,0.005,0.0005,0.005
DLAGU49-140216,DLAGU49,POZO TAPIAS VIEJAS,104,VENADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VENADERO,SUBTERRÁNEO,POZO,21.85116,-102.53558,2016-02-10,178.89,378.0,92.09,260.0,0.16756,0.0015,1.675803,1.0,1.230319,0.01,0.003,0.005,0.0005,0.005
